,date,code,pcs_m,quantity,location,loc_date,water_name_slug,river_bassin,groupname,city,population,intersects,fail,% to buildings,% to trans,% to recreation,% to agg,% to woods,% to water,% to unproductive,streets,length,month,eom,material,w_t,streets km,p/100m,area
0,2021-08-28,G200,1.33,16,clean-up-tour-cabanes-des-diablerets,"('clean-up-tour-cabanes-des-diablerets', '2021-08-28')",alpes-vaudoises,les-alpes,food and drink,Ormont-Dessus,1448,0,True,0.0,0.0,0.0,0.0453900709219858,0.0865248226950354,0.0056737588652482,0.8680851063829786,9417,12.030075187969924,8,2021-08-31,Glass,r,9.417,133.0,0
1,2021-08-28,G48,0.42,5,clean-up-tour-cabanes-des-diablerets,"('clean-up-tour-cabanes-des-diablerets', '2021-08-28')",alpes-vaudoises,les-alpes,recreation,Ormont-Dessus,1448,0,True,0.0,0.0,0.0,0.0453900709219858,0.0865248226950354,0.0056737588652482,0.8680851063829786,9417,11.904761904761905,8,2021-08-31,Plastic,r,9.417,42.0,0
2,2021-08-28,G79,0.08,1,clean-up-tour-cabanes-des-diablerets,"('clean-up-tour-cabanes-des-diablerets', '2021-08-28')",alpes-vaudoises,les-alpes,plastic pieces,Ormont-Dessus,1448,0,True,0.0,0.0,0.0,0.0453900709219858,0.0865248226950354,0.0056737588652482,0.8680851063829786,9417,12.5,8,2021-08-31,Plastic,r,9.417,8.0,0
3,2021-08-28,G170,0.83,10,clean-up-tour-cabanes-des-diablerets,"('clean-up-tour-cabanes-des-diablerets', '2021-08-28')",alpes-vaudoises,les-alpes,agriculture,Ormont-Dessus,1448,0,True,0.0,0.0,0.0,0.0453900709219858,0.0865248226950354,0.0056737588652482,0.8680851063829786,9417,12.048192771084338,8,2021-08-31,Wood,r,9.417,83.0,0
4,2021-08-28,G27,0.75,9,clean-up-tour-cabanes-des-diablerets,"('clean-up-tour-cabanes-des-diablerets', '2021-08-28')",alpes-vaudoises,les-alpes,tobacco,Ormont-Dessus,1448,0,True,0.0,0.0,0.0,0.0453900709219858,0.0865248226950354,0.0056737588652482,0.8680851063829786,9417,12.0,8,2021-08-31,Plastic,r,9.417,75.0,0
5,2021-08-28,G709,0.17,2,clean-up-tour-cabanes-des-diablerets,"('clean-up-tour-cabanes-des-diablerets', '2021-08-28')",alpes-vaudoises,les-alpes,recreation,Ormont-Dessus,1448,0,True,0.0,0.0,0.0,0.0453900709219858,0.0865248226950354,0.0056737588652482,0.8680851063829786,9417,11.76470588235294,8,2021-08-31,Plastic,r,9.417,17.0,0
6,2021-08-28,G100,0.08,1,clean-up-tour-cabanes-des-diablerets,"('clean-up-tour-cabanes-des-diablerets', '2021-08-28')",alpes-vaudoises,les-alpes,waste water,Ormont-Dessus,1448,0,True,0.0,0.0,0.0,0.0453900709219858,0.0865248226950354,0.0056737588652482,0.8680851063829786,9417,12.5,8,2021-08-31,Plastic,r,9.417,8.0,0
7,2021-08-28,G204,2.17,26,clean-up-tour-cabanes-des-diablerets,"('clean-up-tour-cabanes-des-diablerets', '2021-08-28')",alpes-vaudoises,les-alpes,infrastructure,Ormont-Dessus,1448,0,True,0.0,0.0,0.0,0.0453900709219858,0.0865248226950354,0.0056737588652482,0.8680851063829786,9417,11.981566820276498,8,2021-08-31,Glass,r,9.417,217.0,0
8,2021-08-28,G705,7.17,86,clean-up-tour-cabanes-des-diablerets,"('clean-up-tour-cabanes-des-diablerets', '2021-08-28')",alpes-vaudoises,les-alpes,infrastructure,Ormont-Dessus,1448,0,True,0.0,0.0,0.0,0.0453900709219858,0.0865248226950354,0.0056737588652482,0.8680851063829786,9417,11.99442119944212,8,2021-08-31,Metal,r,9.417,717.0,0
9,2021-08-28,G919,0.75,9,clean-up-tour-cabanes-des-diablerets,"('clean-up-tour-cabanes-des-diablerets', '2021-08-28')",alpes-vaudoises,les-alpes,infrastructure,Ormont-Dessus,1448,0,True,0.0,0.0,0.0,0.0453900709219858,0.0865248226950354,0.0056737588652482,0.8680851063829786,9417,12.0,8,2021-08-31,Metal,r,9.417,75.0,0
10,2021-07-04,G178,0.02,1,clean-up-tour-nendaz,"('clean-up-tour-nendaz', '2021-07-04')",alpes-valaisannes,les-alpes,food and drink,Nendaz,6623,0,True,0.0198863636363636,0.0113636363636363,0.0,0.1946022727272727,0.5909090909090909,0.0042613636363636,0.1832386363636363,49738,50.0,7,2021-07-31,Metal,r,49.738,2.0,0
11,2021-07-04,G93,0.45,29,clean-up-tour-nendaz,"('clean-up-tour-nendaz', '2021-07-04')",alpes-valaisannes,les-alpes,infrastructure,Nendaz,6623,0,True,0.0198863636363636,0.0113636363636363,0.0,0.1946022727272727,0.5909090909090909,0.0042613636363636,0.1832386363636363,49738,64.44444444444444,7,2021-07-31,Plastic,r,49.738,45.0,0
