slug,location,latitude,longitude,post,country,water,water_name,city_slug,water_name_slug,is_2020,city,bfsnum,population,streets,intersects,river_bassin,industrial,residential,government,agg_buildings,unk_building,roads,railways,airports,special,recreational,orchards,vineyards,horticulture,arable,meadows,farmpastures,alpinemeadows,aplinepasteurs,closed_forest,open_forest,brush_forest,woods,lakes,rivers,unproductive,bareland,glaciers,luse_total,water_value,adjusted_land_use,part_industrial,part_residential,part_government,part_agg_buildings,part_unk_building,part_roads,part_railways,part_airports,part_special,part_recreational,part_orchards,part_vineyards,part_horticulture,part_arable,part_meadows,part_farmpastures,part_alpinemeadows,part_aplinepasteurs,part_closed_forest,part_open_forest,part_brush_forest,part_woods,part_lakes,part_rivers,part_unproductive,part_bareland,part_glaciers,% to buildings,% to trans,% to recreation,% to agg,% to woods,% to water,% to unproductive,is_slr,is_mcbp,both
aabach,Aabach,47.220989,8.940365,8716,CH,l,Zurichsee,schmerikon,zurichsee,True,Schmerikon,3338.0,3710.0,65298.0,16.0,linth,23.0,46.0,4.0,1.0,2.0,21.0,0.0,0.0,3.0,12.0,5.0,0.0,2.0,15.0,66.0,30.0,0.0,0.0,155.0,13.0,0.0,10.0,227.0,14.0,55.0,0.0,0.0,704.0,241.0,463.0,0.04967602591792657,0.09935205183585313,0.008639308855291577,0.0021598272138228943,0.004319654427645789,0.04535637149028078,0.0,0.0,0.0064794816414686825,0.02591792656587473,0.01079913606911447,0.0,0.004319654427645789,0.032397408207343416,0.14254859611231102,0.06479481641468683,0.0,0.0,0.3347732181425486,0.028077753779697623,0.0,0.02159827213822894,0.490280777537797,0.03023758099352052,0.11879049676025918,0.0,0.0,0.17062634989200864,0.04535637149028078,0.02591792656587473,0.2548596112311015,0.3844492440604752,0.5205183585313174,0.11879049676025918,False,False,False
aare-limmatspitz,Aare Limmatspitz,47.50106,8.237371,5300,CH,r,Aare,gebenstorf,aare,True,Gebenstorf,4029.0,5414.0,111924.0,0.0,aare,35.0,83.0,5.0,3.0,5.0,63.0,13.0,0.0,11.0,8.0,8.0,5.0,1.0,130.0,35.0,21.0,0.0,0.0,178.0,13.0,0.0,13.0,1.0,74.0,2.0,0.0,0.0,707.0,75.0,632.0,0.055379746835443035,0.13132911392405064,0.007911392405063292,0.004746835443037975,0.007911392405063292,0.09968354430379747,0.020569620253164556,0.0,0.01740506329113924,0.012658227848101266,0.012658227848101266,0.007911392405063292,0.0015822784810126582,0.20569620253164558,0.055379746835443035,0.03322784810126582,0.0,0.0,0.28164556962025317,0.020569620253164556,0.0,0.020569620253164556,0.0015822784810126582,0.11708860759493671,0.0031645569620253164,0.0,0.0,0.22468354430379747,0.12025316455696203,0.012658227848101266,0.31645569620253167,0.3227848101265823,0.11867088607594936,0.0031645569620253164,False,False,False
aare-port,Aare Port,47.11617,7.26955,2558,CH,r,Aare|Nidau-Büren-Kanal,port,aarenidau-buren-kanal,True,Port,745.0,3695.0,120308.0,0.0,aare,43.0,99.0,10.0,5.0,11.0,47.0,4.0,0.0,34.0,43.0,5.0,0.0,2.0,86.0,12.0,21.0,0.0,0.0,232.0,19.0,0.0,7.0,0.0,28.0,1.0,0.0,0.0,709.0,28.0,681.0,0.0631424375917768,0.14537444933920704,0.014684287812041116,0.007342143906020558,0.016152716593245228,0.06901615271659324,0.005873715124816446,0.0,0.049926578560939794,0.0631424375917768,0.007342143906020558,0.0,0.002936857562408223,0.1262848751835536,0.01762114537444934,0.030837004405286344,0.0,0.0,0.3406754772393539,0.027900146842878122,0.0,0.010279001468428781,0.0,0.041116005873715125,0.0014684287812041115,0.0,0.0,0.2966226138032306,0.07488986784140969,0.0631424375917768,0.18502202643171806,0.3788546255506608,0.041116005873715125,0.0014684287812041115,False,False,False
aare-solothurn-lido-strand,Aare Solothurn Lido Strand,47.196949,7.521643,4500,CH,r,Aare,solothurn,aare,True,Solothurn,2601.0,16777.0,86255.0,0.0,aare,16.0,60.0,10.0,8.0,7.0,68.0,14.0,0.0,3.0,18.0,3.0,0.0,0.0,179.0,43.0,39.0,0.0,0.0,171.0,3.0,0.0,17.0,0.0,46.0,1.0,0.0,0.0,706.0,46.0,660.0,0.024242424242424242,0.09090909090909091,0.015151515151515152,0.012121212121212121,0.010606060606060607,0.10303030303030303,0.021212121212121213,0.0,0.004545454545454545,0.02727272727272727,0.004545454545454545,0.0,0.0,0.27121212121212124,0.06515151515151515,0.05909090909090909,0.0,0.0,0.2590909090909091,0.004545454545454545,0.0,0.025757575757575757,0.0,0.0696969696969697,0.0015151515151515152,0.0,0.0,0.1575757575757576,0.12424242424242424,0.02727272727272727,0.4,0.28939393939393937,0.0696969696969697,0.0015151515151515152,False,False,False
aarezufluss_bern_scheurerk,aarezufluss_bern_scheurerk,46.9710097,7.4527897,3004,CH,r,Aare,bern,aare,False,Bern,351.0,133883.0,167120.0,0.0,aare,54.0,146.0,27.0,1.0,21.0,107.0,27.0,0.0,16.0,43.0,1.0,0.0,3.0,24.0,9.0,10.0,0.0,0.0,145.0,8.0,0.0,12.0,0.0,50.0,1.0,0.0,0.0,705.0,50.0,655.0,0.08244274809160305,0.22290076335877862,0.04122137404580153,0.0015267175572519084,0.03206106870229008,0.1633587786259542,0.04122137404580153,0.0,0.024427480916030534,0.06564885496183206,0.0015267175572519084,0.0,0.004580152671755725,0.0366412213740458,0.013740458015267175,0.015267175572519083,0.0,0.0,0.22137404580152673,0.012213740458015267,0.0,0.0183206106870229,0.0,0.07633587786259542,0.0015267175572519084,0.0,0.0,0.40458015267175573,0.20458015267175572,0.06564885496183206,0.0717557251908397,0.2519083969465649,0.07633587786259542,0.0015267175572519084,True,False,False
aare_bern_caveltin,Aare_Bern_CaveltiN,46.9235788,7.4733191,3074,CH,r,Aare,muri-bei-bern,aare,False,Muri bei Bern,356.0,13054.0,106105.0,0.0,aare,4.0,166.0,18.0,8.0,8.0,44.0,3.0,0.0,2.0,10.0,7.0,0.0,6.0,198.0,26.0,66.0,0.0,0.0,76.0,14.0,0.0,16.0,3.0,26.0,7.0,0.0,0.0,708.0,29.0,679.0,0.005891016200294551,0.24447717231222385,0.026509572901325478,0.011782032400589101,0.011782032400589101,0.06480117820324006,0.004418262150220913,0.0,0.0029455081001472753,0.014727540500736377,0.010309278350515464,0.0,0.008836524300441826,0.2916053019145803,0.03829160530191458,0.09720176730486009,0.0,0.0,0.11192930780559647,0.020618556701030927,0.0,0.023564064801178203,0.004418262150220913,0.03829160530191458,0.010309278350515464,0.0,0.0,0.3033873343151694,0.06921944035346098,0.014727540500736377,0.4462444771723122,0.1561119293078056,0.042709867452135494,0.010309278350515464,True,False,False
aare_bern_gerberm,Aare_bern_gerberm,46.9893631,7.4520977,3004,CH,r,Aare,bern,aare,True,Bern,351.0,133883.0,112333.0,0.0,aare,17.0,132.0,27.0,11.0,13.0,46.0,20.0,0.0,6.0,14.0,5.0,0.0,2.0,183.0,19.0,47.0,0.0,0.0,125.0,8.0,0.0,6.0,2.0,25.0,1.0,0.0,0.0,709.0,27.0,682.0,0.024926686217008796,0.1935483870967742,0.039589442815249266,0.016129032258064516,0.01906158357771261,0.06744868035190615,0.02932551319648094,0.0,0.008797653958944282,0.020527859237536656,0.007331378299120235,0.0,0.002932551319648094,0.26832844574780057,0.02785923753665689,0.0689149560117302,0.0,0.0,0.18328445747800587,0.011730205278592375,0.0,0.008797653958944282,0.002932551319648094,0.036656891495601175,0.001466275659824047,0.0,0.0,0.3020527859237536,0.0967741935483871,0.020527859237536656,0.37536656891495596,0.2038123167155425,0.039589442815249266,0.001466275659824047,True,False,True
aare_bern_scheurerk,aare_bern_scheurerk,46.9709672,7.4525857,3004,CH,r,Aare,bern,aare,True,Bern,351.0,133883.0,167239.0,0.0,aare,53.0,147.0,27.0,1.0,21.0,107.0,26.0,0.0,16.0,43.0,1.0,0.0,3.0,24.0,9.0,10.0,0.0,0.0,148.0,8.0,0.0,12.0,0.0,50.0,1.0,0.0,0.0,707.0,50.0,657.0,0.0806697108066971,0.2237442922374429,0.0410958904109589,0.0015220700152207,0.0319634703196347,0.1628614916286149,0.0395738203957382,0.0,0.0243531202435312,0.0654490106544901,0.0015220700152207,0.0,0.0045662100456621,0.0365296803652968,0.0136986301369863,0.015220700152207,0.0,0.0,0.2252663622526636,0.0121765601217656,0.0,0.0182648401826484,0.0,0.076103500761035,0.0015220700152207,0.0,0.0,0.4033485540334855,0.2024353120243531,0.0654490106544901,0.0715372907153729,0.2557077625570776,0.076103500761035,0.0015220700152207,True,False,True
aare_brugg_buchie,Aare_Brugg_BuchiE,47.4948553,8.2365581,5200,CH,r,Aare,brugg,aare,True,Brugg,4095.0,11179.0,120295.0,0.0,aare,42.0,110.0,13.0,1.0,6.0,65.0,16.0,0.0,10.0,21.0,6.0,4.0,1.0,89.0,30.0,21.0,0.0,0.0,160.0,14.0,0.0,16.0,1.0,79.0,5.0,0.0,0.0,710.0,80.0,630.0,0.06666666666666667,0.1746031746031746,0.020634920634920634,0.0015873015873015873,0.009523809523809525,0.10317460317460317,0.025396825396825397,0.0,0.015873015873015872,0.03333333333333333,0.009523809523809525,0.006349206349206349,0.0015873015873015873,0.14126984126984127,0.047619047619047616,0.03333333333333333,0.0,0.0,0.25396825396825395,0.022222222222222223,0.0,0.025396825396825397,0.0015873015873015873,0.1253968253968254,0.007936507936507936,0.0,0.0,0.28888888888888886,0.12857142857142856,0.03333333333333333,0.23968253968253966,0.30158730158730157,0.12698412698412698,0.007936507936507936,True,False,True
aare_elfenau_cataldiv,Aare_Elfenau_cataldiv,46.9310201,7.4629605,3006,CH,r,Aare,bern,aare,False,Bern,351.0,133883.0,141165.0,0.0,aare,7.0,195.0,51.0,4.0,27.0,83.0,5.0,0.0,4.0,41.0,2.0,0.0,5.0,76.0,20.0,40.0,0.0,0.0,100.0,8.0,0.0,10.0,3.0,26.0,2.0,0.0,0.0,709.0,29.0,680.0,0.010294117647058823,0.2867647058823529,0.075,0.0058823529411764705,0.039705882352941174,0.12205882352941176,0.007352941176470588,0.0,0.0058823529411764705,0.060294117647058824,0.0029411764705882353,0.0,0.007352941176470588,0.11176470588235295,0.029411764705882353,0.058823529411764705,0.0,0.0,0.14705882352941177,0.011764705882352941,0.0,0.014705882352941176,0.004411764705882353,0.03823529411764706,0.0029411764705882353,0.0,0.0,0.4235294117647058,0.12941176470588234,0.060294117647058824,0.21029411764705885,0.17352941176470588,0.04264705882352941,0.0029411764705882353,True,False,False
