date,code,pcs_m,quantity,location,loc_date,water_name_slug,river_bassin,length,ilength,groupname,city,population,intersects,fail,% to buildings,% to trans,% to recreation,% to agg,% to woods,% to water,% to unproductive,streets,month,eom,material,w_t,streets km,p/100m,area
2021-08-28,G200,1.33,16,clean-up-tour-cabanes-des-diablerets,"('clean-up-tour-cabanes-des-diablerets', '2021-08-28')",alpes-vaudoises,les-alpes,12.0,12.0,food and drink,Ormont-Dessus,1448,0,True,0.0,0.0,0.0,0.0453900709219858,0.0865248226950354,0.0056737588652482,0.8680851063829786,9417,8,2021-08-31,Glass,r,9.417,133.0,0
2021-08-28,G48,0.42,5,clean-up-tour-cabanes-des-diablerets,"('clean-up-tour-cabanes-des-diablerets', '2021-08-28')",alpes-vaudoises,les-alpes,12.0,12.0,recreation,Ormont-Dessus,1448,0,True,0.0,0.0,0.0,0.0453900709219858,0.0865248226950354,0.0056737588652482,0.8680851063829786,9417,8,2021-08-31,Plastic,r,9.417,42.0,0
2021-08-28,G170,0.83,10,clean-up-tour-cabanes-des-diablerets,"('clean-up-tour-cabanes-des-diablerets', '2021-08-28')",alpes-vaudoises,les-alpes,12.0,12.0,agriculture,Ormont-Dessus,1448,0,True,0.0,0.0,0.0,0.0453900709219858,0.0865248226950354,0.0056737588652482,0.8680851063829786,9417,8,2021-08-31,Wood,r,9.417,83.0,0
2021-08-28,G27,0.75,9,clean-up-tour-cabanes-des-diablerets,"('clean-up-tour-cabanes-des-diablerets', '2021-08-28')",alpes-vaudoises,les-alpes,12.0,12.0,tobacco,Ormont-Dessus,1448,0,True,0.0,0.0,0.0,0.0453900709219858,0.0865248226950354,0.0056737588652482,0.8680851063829786,9417,8,2021-08-31,Plastic,r,9.417,75.0,0
2021-08-28,G709,0.17,2,clean-up-tour-cabanes-des-diablerets,"('clean-up-tour-cabanes-des-diablerets', '2021-08-28')",alpes-vaudoises,les-alpes,12.0,12.0,recreation,Ormont-Dessus,1448,0,True,0.0,0.0,0.0,0.0453900709219858,0.0865248226950354,0.0056737588652482,0.8680851063829786,9417,8,2021-08-31,Plastic,r,9.417,17.0,0
2021-08-28,G100,0.08,1,clean-up-tour-cabanes-des-diablerets,"('clean-up-tour-cabanes-des-diablerets', '2021-08-28')",alpes-vaudoises,les-alpes,12.0,12.0,waste water,Ormont-Dessus,1448,0,True,0.0,0.0,0.0,0.0453900709219858,0.0865248226950354,0.0056737588652482,0.8680851063829786,9417,8,2021-08-31,Plastic,r,9.417,8.0,0
2021-08-28,G204,2.17,26,clean-up-tour-cabanes-des-diablerets,"('clean-up-tour-cabanes-des-diablerets', '2021-08-28')",alpes-vaudoises,les-alpes,12.0,12.0,infrastructure,Ormont-Dessus,1448,0,True,0.0,0.0,0.0,0.0453900709219858,0.0865248226950354,0.0056737588652482,0.8680851063829786,9417,8,2021-08-31,Glass,r,9.417,217.0,0
2021-08-28,G705,7.17,86,clean-up-tour-cabanes-des-diablerets,"('clean-up-tour-cabanes-des-diablerets', '2021-08-28')",alpes-vaudoises,les-alpes,12.0,12.0,infrastructure,Ormont-Dessus,1448,0,True,0.0,0.0,0.0,0.0453900709219858,0.0865248226950354,0.0056737588652482,0.8680851063829786,9417,8,2021-08-31,Metal,r,9.417,717.0,0
2021-08-28,G919,0.75,9,clean-up-tour-cabanes-des-diablerets,"('clean-up-tour-cabanes-des-diablerets', '2021-08-28')",alpes-vaudoises,les-alpes,12.0,12.0,infrastructure,Ormont-Dessus,1448,0,True,0.0,0.0,0.0,0.0453900709219858,0.0865248226950354,0.0056737588652482,0.8680851063829786,9417,8,2021-08-31,Metal,r,9.417,75.0,0
2021-08-07,G90,0.01,1,clean-up-tour-val-calanca,"('clean-up-tour-val-calanca', '2021-08-07')",alpes-lepontines,les-alpes,80.0,81.25,agriculture,Calanca,199,0,True,0.0217076700434153,0.0188133140376266,0.0,0.0839363241678726,0.8277858176555716,0.0260492040520984,0.0477568740955137,38365,8,2021-08-31,Plastic,r,38.365,1.0,0
2021-08-07,G145,0.01,1,clean-up-tour-val-calanca,"('clean-up-tour-val-calanca', '2021-08-07')",alpes-lepontines,les-alpes,80.0,81.25,personal items,Calanca,199,0,True,0.0217076700434153,0.0188133140376266,0.0,0.0839363241678726,0.8277858176555716,0.0260492040520984,0.0477568740955137,38365,8,2021-08-31,Cloth,r,38.365,1.0,0
2021-08-07,G921,0.07,6,clean-up-tour-val-calanca,"('clean-up-tour-val-calanca', '2021-08-07')",alpes-lepontines,les-alpes,80.0,81.25,infrastructure,Calanca,199,0,True,0.0217076700434153,0.0188133140376266,0.0,0.0839363241678726,0.8277858176555716,0.0260492040520984,0.0477568740955137,38365,8,2021-08-31,Glass,r,38.365,7.0,0
