code,material,description,source,source_two,source_three,parent_code,direct,single_use,micro,ospar_code,groupname
G708,Alu,Batons de ski,Usagers,Where does it come from,Where does it come from,G199,True,False,False,Ospar...,recreation
G212,Chemicals,Oil nodules or coal fragments -- not from a BBQ,Undefined,Where does it come from,none,Parent code,False,False,False,none,unclassified
G213,Chemicals,Paraffin wax,Undefined,Where does it come from,none,Parent code,True,False,False,181,recreation
G214,Chemicals,Oil/tar,Construction,Where does it come from,none,Parent code,False,False,False,111,infrastructure
G135,Cloth,"Clothes, footware, headware, gloves",Clothing,Where does it come from,none,Parent code,True,False,False,54,personal items
G136,Cloth,Shoes,Clothing,Where does it come from,none,Parent code,True,False,False,none,personal items
G137,Cloth,"Clothing, towels & rags",Clothing,Where does it come from,none,Parent code,True,False,False,54,personal items
G138,Cloth,Shoes and sandals,Clothing,Where does it come from,none,Parent code,True,False,False,57,personal items
G139,Cloth,Backpacks,Utility items,Recreation,none,Parent code,True,False,False,none,personal items
G140,Cloth,"Bags, burlap, hessian, jute or hemp",Packaging,Agriculture,none,Parent code,False,False,False,56,agriculture
G141,Cloth,Carpet,Utility items,Where does it come from,none,Parent code,False,False,False,55,unclassified
G142,Cloth,"Rope , string or nets",Utility items,Recreation,none,Parent code,True,False,False,none,recreation
G143,Cloth,Sails and canvas,Utility items,Recreation,none,Parent code,True,False,False,none,recreation
G144,Cloth,Tampons,Personal hygiene,Water Treatment,none,Parent code,False,False,False,100,waste water
G145,Cloth,Other textiles,Undefined,Personal hygiene,none,Parent code,True,False,False,59,personal items
G712,Cloth,Gants de ski,Usagers,Where does it come from,Where does it come from,G135,True,False,False,Ospar...,recreation
G902,Cloth,"Mask medical, cloth",Personal hygiene,Where does it come from,none,G145,True,False,False,59,personal items
G200,Glass,"Glass drink bottles, pieces",Packaging,Food and drink,none,Parent code,True,True,False,91,food and drink
G201,Glass,"Jars, includes pieces",Packaging,Where does it come from,none,Parent code,True,False,False,93,food and drink
G202,Glass,Light bulbs,Utility items,Where does it come from,,Parent code,True,False,False,,unclassified
G203,Glass,"Tableware ceramic or glass, cups, plates, pieces",Food,Where does it come from,none,Parent code,False,False,False,none,food and drink
G204,Glass,"Construction material; bricks, pipes, cement",Construction,Where does it come from,none,Parent code,True,False,False,94,infrastructure
G205,Glass,Fluorescent light tubes,Utility items,Where does it come from,,Parent code,True,False,False,,unclassified
G206,Glass,Glass buoys,Fishing,Where does it come from,,Parent code,True,False,False,,recreation
G207,Glass,Octopus pots,Fishing,Where does it come from,,Parent code,True,False,False,,unclassified
G208,Glass,Glass or ceramic fragments > 2.5 cm,Undefined,Where does it come from,none,Parent code,True,False,False,none,unclassified
G209,Glass,Large glass objects,Undefined,Where does it come from,,Parent code,True,False,False,,unclassified
G210,Glass,Other glass/ceramic,Undefined,Where does it come from,none,Parent code,True,False,False,96,unclassified
G917,Glass,Terracotta balls,Utility items,Where does it come from,none,G210,False,False,False,96,unclassified
G921,Glass,Ceramic tile and pieces,Construction,Where does it come from,none,G204,False,False,False,94,infrastructure
G174,Metal,Aerosol spray cans,Packaging,Where does it come from,,Parent code,True,False,False,,infrastructure
G175,Metal,"Cans, beverage",Packaging,Food and drink,none,Parent code,True,True,False,78,food and drink
G176,Metal,"Cans, food",Packaging,Food and drink,none,Parent code,True,True,False,82,food and drink
G177,Metal,"Foil wrappers, aluminum foil",Packaging,Where does it come from,none,Parent code,True,False,False,81,food and drink
G178,Metal,"Metal bottle caps, lids & pull tabs from cans",Packaging,Food and drink,Direct,Parent code,True,True,False,77,food and drink
G179,Metal,Disposable BBQs,Recreation,Where does it come from,,Parent code,True,False,False,,food and drink
