survey_key,date,length,area,mac_plast_w,mic_plas_w,total_w,est_weight,num_parts_staff,num_parts_other,time_minutes,participants,project,is_2020,location,loc_date,water_name_slug,river_bassin,survey area
aabach2020-10-2230,2020-10-22,30,75.0,75.0,0.145,0.08,0.0,1,0,90,"[""HD""]",2020,True,aabach,"('aabach', '2020-10-22')",zurichsee,linth,linth
aare-limmatspitz2020-07-13120,2020-07-13,120,253.0,155.0,0.033,0.155,0.0,1,0,90,"[""HD""]",2020,True,aare-limmatspitz,"('aare-limmatspitz', '2020-07-13')",aare,aare,aare
aare-port2021-04-2340,2021-04-23,40,411.0,130.0,0.0,0.18,0.0,1,0,145,"[""HD""]",2020,True,aare-port,"('aare-port', '2021-04-23')",aarenidau-buren-kanal,aare,aare
aare-solothurn-lido-strand2020-09-0511,2020-09-05,11,38.0,1.0,0.0,0.001,0.0,1,0,80,"[""HD""]",2020,True,aare-solothurn-lido-strand,"('aare-solothurn-lido-strand', '2020-09-05')",aare,aare,aare
aare_bern_gerberm2020-09-2337,2020-09-23,37,148.0,3800.0,0.0,5.3,0.0,1,1,150,"[""HD""]",2020,True,aare_bern_gerberm,"('aare_bern_gerberm', '2020-09-23')",aare,aare,aare
aare_bern_scheurerk2020-05-1332,2020-05-13,32,96.0,100.0,0.0,0.14,0.0,1,0,120,"[""HD""]",2020,True,aare_bern_scheurerk,"('aare_bern_scheurerk', '2020-05-13')",aare,aare,aare
aare_brugg_buchie2020-07-1338,2020-07-13,38,113.0,199.5,0.0,0.2,0.0,1,0,70,"[""HD""]",2020,True,aare_brugg_buchie,"('aare_brugg_buchie', '2020-07-13')",aare,aare,aare
aare_koniz_hoppej2020-11-0670,2020-11-06,70,560.0,20.0,0.0,0.1,0.0,1,0,60,"[""HD""]",2020,True,aare_koniz_hoppej,"('aare_koniz_hoppej', '2020-11-06')",aare,aare,aare
aare_post2020-05-1770,2020-05-17,70,490.0,10.0,0.024,0.06,0.0,1,0,70,"[""HD""]",2020,True,aare_post,"('aare_post', '2020-05-17')",aarenidau-buren-kanal,aare,aare
aare_suhrespitz_badert2020-11-1221,2020-11-12,21,55.0,110.0,0.0,0.13,0.0,1,0,50,"[""HD""]",2020,True,aare_suhrespitz_badert,"('aare_suhrespitz_badert', '2020-11-12')",aare,aare,aare
anarchy-beach2021-03-2428,2021-03-24,28,241.0,100.0,0.0,0.435,0.4,1,1,120,"[""HD""]",2020,True,anarchy-beach,"('anarchy-beach', '2021-03-24')",lac-leman,rhone,rhone
ascona-traghetto-spiaggia2020-08-2627,2020-08-26,27,185.0,0.08,0.067,0.19,0.0,1,0,120,"[""HD""]",2020,True,ascona-traghetto-spiaggia,"('ascona-traghetto-spiaggia', '2020-08-26')",lago-maggiore,ticino,ticino
augustmutzenbergstrandweg2020-10-099,2020-10-09,9,12.0,1.0,0.0,0.001,0.0,1,0,60,"[""HD""]",2020,True,augustmutzenbergstrandweg,"('augustmutzenbergstrandweg', '2020-10-09')",thunersee,aare,aare
baby-plage-geneva2020-05-05105,2020-05-05,105,630.0,250.0,0.0,0.45,0.0,1,3,150,"[""HD"",""ASL"",""EG""]",2020,True,baby-plage-geneva,"('baby-plage-geneva', '2020-05-05')",lac-leman,rhone,rhone
baby-plage-geneva2020-06-09100,2020-06-09,100,550.0,690.0,1.265,0.691,0.0,1,3,35,"[""ASL"",""PRCS"",""HD""]",2020,True,baby-plage-geneva,"('baby-plage-geneva', '2020-06-09')",lac-leman,rhone,rhone
baby-plage-geneva2020-07-07100,2020-07-07,100,400.0,350.0,16.115,0.83,0.0,1,10,90,"[""ASL"",""EG""]",2020,True,baby-plage-geneva,"('baby-plage-geneva', '2020-07-07')",lac-leman,rhone,rhone
baby-plage-geneva2020-08-18100,2020-08-18,100,300.0,125.0,0.0,0.195,0.0,1,3,45,"[""ASL"",""EG""]",2020,True,baby-plage-geneva,"('baby-plage-geneva', '2020-08-18')",lac-leman,rhone,rhone
baby-plage-geneva2020-10-2074,2020-10-20,74,370.0,130.0,0.24,0.165,0.0,1,0,180,"[""HD""]",2020,True,baby-plage-geneva,"('baby-plage-geneva', '2020-10-20')",lac-leman,rhone,rhone
baby-plage-geneva2020-11-18100,2020-11-18,100,300.0,88.0,0.0,0.46,0.0,1,2,60,"[""ASL""]",2020,True,baby-plage-geneva,"('baby-plage-geneva', '2020-11-18')",lac-leman,rhone,rhone
baby-plage-geneva2020-12-16100,2020-12-16,100,300.0,100.0,0.257,0.14,0.0,1,1,40,"[""ASL""]",2020,True,baby-plage-geneva,"('baby-plage-geneva', '2020-12-16')",lac-leman,rhone,rhone
baby-plage-geneva2021-01-1653,2021-01-16,53,265.0,250.0,0.0,0.32,0.0,1,5,90,"[""HD"",""EG""]",2020,True,baby-plage-geneva,"('baby-plage-geneva', '2021-01-16')",lac-leman,rhone,rhone
baby-plage-geneva2021-02-10100,2021-02-10,100,400.0,20.0,0.436,0.05,0.0,1,2,45,"[""ASL""]",2020,True,baby-plage-geneva,"('baby-plage-geneva', '2021-02-10')",lac-leman,rhone,rhone
baby-plage-geneva2021-03-10100,2021-03-10,100,400.0,26.0,0.021,0.04,0.0,1,2,60,"[""ASL""]",2020,True,baby-plage-geneva,"('baby-plage-geneva', '2021-03-10')",lac-leman,rhone,rhone
baby-plage-ii-geneve2020-11-0154,2020-11-01,54,324.0,29.0,0.093,0.03,0.0,1,7,90,"[""EG""]",2020,True,baby-plage-ii-geneve,"('baby-plage-ii-geneve', '2020-11-01')",lac-leman,rhone,rhone
baby-plage-ii-geneve2020-12-0889,2020-12-08,89,534.0,2.29,0.0,0.04,0.0,1,8,90,"[""EG""]",2020,True,baby-plage-ii-geneve,"('baby-plage-ii-geneve', '2020-12-08')",lac-leman,rhone,rhone
bain-des-dames2020-06-1129,2020-06-11,29,261.0,440.0,0.001,0.45,0.0,1,0,120,"[""HD""]",2020,True,bain-des-dames,"('bain-des-dames', '2020-06-11')",lac-leman,rhone,rhone
baye-de-montreux-g2020-05-0732,2020-05-07,32,140.0,90.0,0.0,0.29,0.0,1,0,120,"[""HD""]",2020,True,baye-de-montreux-g,"('baye-de-montreux-g', '2020-05-07')",lac-leman,rhone,rhone
baye-de-montreux-g2020-06-0218,2020-06-02,18,126.0,100.0,0.0,0.5,0.0,1,0,133,"[""HD""]",2020,True,baye-de-montreux-g,"('baye-de-montreux-g', '2020-06-02')",lac-leman,rhone,rhone
baye-de-montreux-g2020-07-1419,2020-07-14,19,42.0,120.0,0.0,0.13,0.0,1,0,60,"[""HD""]",2020,True,baye-de-montreux-g,"('baye-de-montreux-g', '2020-07-14')",lac-leman,rhone,rhone
baye-de-montreux-g2020-08-1120,2020-08-11,20,40.0,60.0,0.001,0.07,0.0,1,0,95,"[""HD""]",2020,True,baye-de-montreux-g,"('baye-de-montreux-g', '2020-08-11')",lac-leman,rhone,rhone
baye-de-montreux-g2020-09-0831,2020-09-08,31,105.0,75.0,0.0,0.2,0.0,1,0,120,"[""HD""]",2020,True,baye-de-montreux-g,"('baye-de-montreux-g', '2020-09-08')",lac-leman,rhone,rhone
baye-de-montreux-g2020-10-1521,2020-10-15,21,56.0,0.05,0.0,2.9,0.0,1,0,75,"[""HD""]",2020,True,baye-de-montreux-g,"('baye-de-montreux-g', '2020-10-15')",lac-leman,rhone,rhone
beich2020-11-1365,2020-11-13,65,260.0,20.0,0.0,0.02,0.0,1,1,35,"[""HD""]",2020,True,beich,"('beich', '2020-11-13')",aare,aare,aare
bern-fahrstrasse2020-09-0455,2020-09-04,55,440.0,0.0,0.0,0.01,0.0,1,0,60,"[""HD""]",2020,True,bern-fahrstrasse,"('bern-fahrstrasse', '2020-09-04')",aare,aare,aare
bern-tiergarten2020-11-0550,2020-11-05,50,320.0,40.0,0.0,1.6,0.0,1,0,69,"[""HD""]",2020,True,bern-tiergarten,"('bern-tiergarten', '2020-11-05')",aare,aare,aare
