date,code,pcs_m,quantity,location,loc_date,water_name_slug,river_bassin,length,ilength,groupname,city,population,intersects,fail,% to buildings,% to trans,% to recreation,% to agg,% to woods,% to water,% to unproductive,streets,month,eom,material,w_t,streets km,p/100m,area
2021-05-01,G35,0.01,1,maladaire,"('maladaire', '2021-05-01')",lac-leman,rhone,77.0,77.7142857142857,food and drink,La Tour-de-Peilz,11828.0,3,True,0.5233415233415234,0.1621621621621621,0.0442260442260442,0.2383292383292383,0.0319410319410319,0.742014742014742,0.0,75317,5,2021-05-31,Plastic,l,75.317,1.0,0
2021-05-01,G21,0.01,1,maladaire,"('maladaire', '2021-05-01')",lac-leman,rhone,77.0,77.7142857142857,food and drink,La Tour-de-Peilz,11828.0,3,True,0.5233415233415234,0.1621621621621621,0.0442260442260442,0.2383292383292383,0.0319410319410319,0.742014742014742,0.0,75317,5,2021-05-31,Plastic,l,75.317,1.0,0
2021-05-01,G26,0.01,1,maladaire,"('maladaire', '2021-05-01')",lac-leman,rhone,77.0,77.7142857142857,tobacco,La Tour-de-Peilz,11828.0,3,True,0.5233415233415234,0.1621621621621621,0.0442260442260442,0.2383292383292383,0.0319410319410319,0.742014742014742,0.0,75317,5,2021-05-31,Plastic,l,75.317,1.0,0
2021-05-01,G30,0.12,9,maladaire,"('maladaire', '2021-05-01')",lac-leman,rhone,77.0,77.7142857142857,food and drink,La Tour-de-Peilz,11828.0,3,True,0.5233415233415234,0.1621621621621621,0.0442260442260442,0.2383292383292383,0.0319410319410319,0.742014742014742,0.0,75317,5,2021-05-31,Plastic,l,75.317,12.0,0
2021-05-01,G33,0.01,1,maladaire,"('maladaire', '2021-05-01')",lac-leman,rhone,77.0,77.7142857142857,food and drink,La Tour-de-Peilz,11828.0,3,True,0.5233415233415234,0.1621621621621621,0.0442260442260442,0.2383292383292383,0.0319410319410319,0.742014742014742,0.0,75317,5,2021-05-31,Plastic,l,75.317,1.0,0
2021-05-01,G200,0.04,3,maladaire,"('maladaire', '2021-05-01')",lac-leman,rhone,77.0,77.7142857142857,food and drink,La Tour-de-Peilz,11828.0,3,True,0.5233415233415234,0.1621621621621621,0.0442260442260442,0.2383292383292383,0.0319410319410319,0.742014742014742,0.0,75317,5,2021-05-31,Glass,l,75.317,4.0,0
2021-05-01,G10,0.04,3,maladaire,"('maladaire', '2021-05-01')",lac-leman,rhone,77.0,77.7142857142857,food and drink,La Tour-de-Peilz,11828.0,3,True,0.5233415233415234,0.1621621621621621,0.0442260442260442,0.2383292383292383,0.0319410319410319,0.742014742014742,0.0,75317,5,2021-05-31,Plastic,l,75.317,4.0,0
2021-05-01,G25,0.01,1,maladaire,"('maladaire', '2021-05-01')",lac-leman,rhone,77.0,77.7142857142857,tobacco,La Tour-de-Peilz,11828.0,3,True,0.5233415233415234,0.1621621621621621,0.0442260442260442,0.2383292383292383,0.0319410319410319,0.742014742014742,0.0,75317,5,2021-05-31,Plastic,l,75.317,1.0,0
2021-05-01,G178,0.03,2,maladaire,"('maladaire', '2021-05-01')",lac-leman,rhone,77.0,77.7142857142857,food and drink,La Tour-de-Peilz,11828.0,3,True,0.5233415233415234,0.1621621621621621,0.0442260442260442,0.2383292383292383,0.0319410319410319,0.742014742014742,0.0,75317,5,2021-05-31,Metal,l,75.317,3.0,0
2021-05-01,G24,0.03,2,maladaire,"('maladaire', '2021-05-01')",lac-leman,rhone,77.0,77.7142857142857,food and drink,La Tour-de-Peilz,11828.0,3,True,0.5233415233415234,0.1621621621621621,0.0442260442260442,0.2383292383292383,0.0319410319410319,0.742014742014742,0.0,75317,5,2021-05-31,Plastic,l,75.317,3.0,0
