OBJECTID,EDGELEVEL,TOLL,LTN,MED,RST,UUID,OBJVAL,left,top,right,bottom,length,hex_id
"18",1,Keine Gebühr,"2",Without median,Paved,{93F58358-D2B5-498F-9C67-936FE505F48B},HauptStrAB4,2647370.750507690012455,1250437.262499999953434,2647948.100776879582554,1249937.262499999953434,"210","165400"
"22",1,Keine Gebühr,"2",Without median,Paved,{4C97404A-BDFE-4584-AD57-F9B9312A872F},HauptStrAB6,2538684.562332742847502,1179687.262499999953434,2539261.912601932417601,1179187.262499999953434,"49","54599"
"22",1,Keine Gebühr,"2",Without median,Paved,{4C97404A-BDFE-4584-AD57-F9B9312A872F},HauptStrAB6,2539117.575034635141492,1179437.262499999953434,2539694.925303824711591,1178937.262499999953434,"408","55042"
"23",1,Keine Gebühr,"2",Without median,Paved,{724620BF-DDC4-4197-AA8F-4D02E3C8ED9C},HauptStrAB6,2539117.575034635141492,1179437.262499999953434,2539694.925303824711591,1178937.262499999953434,"73","55042"
"46",2,Keine Gebühr,"2",Without median,Paved,{8B047DB9-28D6-4F53-AE24-72637998F302},HauptStrAB6,2630050.242432001046836,1169437.262499999953434,2630627.592701190616935,1168937.262499999953434,"11","147882"
"46",2,Keine Gebühr,"2",Without median,Paved,{8B047DB9-28D6-4F53-AE24-72637998F302},HauptStrAB6,2630483.255133893340826,1169187.262499999953434,2631060.605403082910925,1168687.262499999953434,"91","148324"
"47",1,Keine Gebühr,"2",Without median,Paved,{DF2C48EC-C440-45E0-83F3-79118BFE67BA},VerbindStr4,2613162.747058204840869,1180187.262499999953434,2613740.097327394410968,1179687.262499999953434,"153","130622"
"94",2,Keine Gebühr,"2",Without median,Paved,{C1DF48E4-96BF-4CB7-9FE9-0C30328D8240},HauptStrAB4,2597574.289790085051209,1199187.262499999953434,2598151.640059274621308,1198687.262499999953434,"144","114672"
"95",2,Keine Gebühr,"2",Without median,Paved,{26AEAFCC-DD03-46CC-B895-967DE6FE70A8},HauptStrAB4,2597574.289790085051209,1199187.262499999953434,2598151.640059274621308,1198687.262499999953434,"125","114672"
"111",2,Keine Gebühr,"2",Without median,Paved,{86DD9067-D265-4067-B22E-11EDA3571F60},HauptStrAB6,2630483.255133893340826,1169187.262499999953434,2631060.605403082910925,1168687.262499999953434,"225","148324"
"114",2,Keine Gebühr,"2",Without median,Paved,{3EF09CDC-A763-4971-9D30-B2D70FB02F7E},VerbindStr6,2633514.344047138933092,1244437.262499999953434,2634091.694316328503191,1243937.262499999953434,"228","151268"
"114",2,Keine Gebühr,"2",Without median,Paved,{3EF09CDC-A763-4971-9D30-B2D70FB02F7E},VerbindStr6,2633947.356749031227082,1244187.262499999953434,2634524.707018220797181,1243687.262499999953434,"102","151710"
"115",2,Keine Gebühr,"2",Without median,Paved,{4DD6E2D0-3738-4B9C-9F20-1897963759CE},VerbindStr4,2585449.934137102682143,1224187.262499999953434,2586027.284406292252243,1223687.262499999953434,"411","102246"
"145",-1,Keine Gebühr,"2",Without median,Paved,{B398FB94-E1C5-4A75-BDAA-BFBE468193C5},Autob_Ri,2558603.146619785111398,1206687.262499999953434,2559180.496888974681497,1206187.262499999953434,"274","74877"
"145",-1,Keine Gebühr,"2",Without median,Paved,{B398FB94-E1C5-4A75-BDAA-BFBE468193C5},Autob_Ri,2558603.146619785111398,1206187.262499999953434,2559180.496888974681497,1205687.262499999953434,"272","74878"
"145",-1,Keine Gebühr,"2",Without median,Paved,{B398FB94-E1C5-4A75-BDAA-BFBE468193C5},Autob_Ri,2559036.159321677405387,1206937.262499999953434,2559613.509590866975486,1206437.262499999953434,"28","75319"
"145",-1,Keine Gebühr,"2",Without median,Paved,{B398FB94-E1C5-4A75-BDAA-BFBE468193C5},Autob_Ri,2559036.159321677405387,1206437.262499999953434,2559613.509590866975486,1205937.262499999953434,"109","75320"
"145",-1,Keine Gebühr,"2",Without median,Paved,{B398FB94-E1C5-4A75-BDAA-BFBE468193C5},Autob_Ri,2559036.159321677405387,1205937.262499999953434,2559613.509590866975486,1205437.262499999953434,"432","75321"
"145",-1,Keine Gebühr,"2",Without median,Paved,{B398FB94-E1C5-4A75-BDAA-BFBE468193C5},Autob_Ri,2559036.159321677405387,1205437.262499999953434,2559613.509590866975486,1204937.262499999953434,"410","75322"
"146",1,Keine Gebühr,"2",Without median,Paved,{8842BB34-EEE4-4281-B03C-19C4F95399D7},Autob_Ri,2559036.159321677405387,1205437.262499999953434,2559613.509590866975486,1204937.262499999953434,"105","75322"
"146",1,Keine Gebühr,"2",Without median,Paved,{8842BB34-EEE4-4281-B03C-19C4F95399D7},Autob_Ri,2559469.172023569699377,1205187.262499999953434,2560046.522292759269476,1204687.262499999953434,"173","75764"
"147",1,Keine Gebühr,"2",Without median,Paved,{6A94D02B-B2A8-4045-99CE-B7B99ADB6251},Autob_Ri,2558603.146619785111398,1206687.262499999953434,2559180.496888974681497,1206187.262499999953434,"33","74877"
"147",1,Keine Gebühr,"2",Without median,Paved,{6A94D02B-B2A8-4045-99CE-B7B99ADB6251},Autob_Ri,2559036.159321677405387,1206937.262499999953434,2559613.509590866975486,1206437.262499999953434,"54","75319"
"147",1,Keine Gebühr,"2",Without median,Paved,{6A94D02B-B2A8-4045-99CE-B7B99ADB6251},Autob_Ri,2559036.159321677405387,1206437.262499999953434,2559613.509590866975486,1205937.262499999953434,"498","75320"
"147",1,Keine Gebühr,"2",Without median,Paved,{6A94D02B-B2A8-4045-99CE-B7B99ADB6251},Autob_Ri,2559036.159321677405387,1205937.262499999953434,2559613.509590866975486,1205437.262499999953434,"550","75321"
"147",1,Keine Gebühr,"2",Without median,Paved,{6A94D02B-B2A8-4045-99CE-B7B99ADB6251},Autob_Ri,2559036.159321677405387,1205437.262499999953434,2559613.509590866975486,1204937.262499999953434,"389","75322"
"147",1,Keine Gebühr,"2",Without median,Paved,{6A94D02B-B2A8-4045-99CE-B7B99ADB6251},Autob_Ri,2559469.172023569699377,1205187.262499999953434,2560046.522292759269476,1204687.262499999953434,"219","75764"
"2006",2,Vignette,"4",With median,Paved,{5DDE9790-C603-4459-B000-E4717B86BA2B},Autobahn,2608399.607337390072644,1212437.262499999953434,2608976.957606579177082,1211937.262499999953434,"219","125696"
"2102",2,Vignette,"4",With median,Paved,{60D8E661-EDEE-4C32-BD87-1D664BAA8D38},Autobahn,2587614.997646563686430,1223437.262499999953434,2588192.347915753256530,1222937.262499999953434,"319","104458"
"2103",2,Vignette,"4",With median,Paved,{5FBD945F-4CEA-44E2-805E-DAF7521A73AC},Autobahn,2586315.959540887270123,1223187.262499999953434,2586893.309810076840222,1222687.262499999953434,"52","103132"
"2103",2,Vignette,"4",With median,Paved,{5FBD945F-4CEA-44E2-805E-DAF7521A73AC},Autobahn,2586748.972242779564112,1223437.262499999953434,2587326.322511969134212,1222937.262499999953434,"207","103574"
"2104",1,Vignette,"4",With median,Paved,{B3EE0BF4-2E63-40C0-99A4-1E0D07306614},Autobahn,2586315.959540887270123,1223687.262499999953434,2586893.309810076840222,1223187.262499999953434,"96","103131"
"2104",1,Vignette,"4",With median,Paved,{B3EE0BF4-2E63-40C0-99A4-1E0D07306614},Autobahn,2586315.959540887270123,1223187.262499999953434,2586893.309810076840222,1222687.262499999953434,"107","103132"
"2118",-1,Vignette,"4",With median,Paved,{C3D0C571-B655-406F-B653-E5AD4A8878D8},Autobahn,2591945.124665486160666,1224437.262499999953434,2592522.474934676196426,1223937.262499999953434,"506","108876"
"2118",-1,Vignette,"4",With median,Paved,{C3D0C571-B655-406F-B653-E5AD4A8878D8},Autobahn,2592378.137367377988994,1224187.262499999953434,2592955.487636567559093,1223687.262499999953434,"429","109318"
"2118",-1,Vignette,"4",With median,Paved,{C3D0C571-B655-406F-B653-E5AD4A8878D8},Autobahn,2592811.150069270282984,1224437.262499999953434,2593388.500338459853083,1223937.262499999953434,"153","109760"
"2119",1,Vignette,"4",With median,Paved,{1F30C20E-2C51-4867-8DC8-85B16CC3A524},Autobahn,2594543.200876839458942,1224437.262499999953434,2595120.551146029029042,1223937.262499999953434,"207","111528"
"2119",1,Vignette,"4",With median,Paved,{1F30C20E-2C51-4867-8DC8-85B16CC3A524},Autobahn,2594976.213578731287271,1224187.262499999953434,2595553.563847920857370,1223687.262499999953434,"365","111970"
"2119",1,Vignette,"4",With median,Paved,{1F30C20E-2C51-4867-8DC8-85B16CC3A524},Autobahn,2595842.238982516340911,1224687.262499999953434,2596419.589251705445349,1224187.262499999953434,"186","112853"
"2120",1,Vignette,"4",With median,Paved,{EE44207A-175B-4881-9A6C-68BBD6959E98},Autobahn,2594110.188174947164953,1224687.262499999953434,2594687.538444136735052,1224187.262499999953434,"143","111085"
"2120",1,Vignette,"4",With median,Paved,{EE44207A-175B-4881-9A6C-68BBD6959E98},Autobahn,2594543.200876839458942,1224437.262499999953434,2595120.551146029029042,1223937.262499999953434,"334","111528"
"2121",1,Vignette,"4",With median,Paved,{C327386B-36A3-4DFF-873E-EB1D8ABA9AC6},Autobahn,2593677.175473054870963,1224437.262499999953434,2594254.525742244906723,1223937.262499999953434,"278","110644"
"2121",1,Vignette,"4",With median,Paved,{C327386B-36A3-4DFF-873E-EB1D8ABA9AC6},Autobahn,2594110.188174947164953,1224687.262499999953434,2594687.538444136735052,1224187.262499999953434,"162","111085"
"2122",-1,Vignette,"4",With median,Paved,{4A3EC9D6-46C6-42B0-B1B4-1E64398FC5B6},Autobahn,2595842.238982516340911,1224687.262499999953434,2596419.589251705445349,1224187.262499999953434,"181","112853"
"2122",-1,Vignette,"4",With median,Paved,{4A3EC9D6-46C6-42B0-B1B4-1E64398FC5B6},Autobahn,2596275.251684408169240,1224437.262499999953434,2596852.601953597739339,1223937.262499999953434,"404","113296"
"2122",-1,Vignette,"4",With median,Paved,{4A3EC9D6-46C6-42B0-B1B4-1E64398FC5B6},Autobahn,2596708.264386300463229,1224687.262499999953434,2597285.614655490033329,1224187.262499999953434,"512","113737"
"2122",-1,Vignette,"4",With median,Paved,{4A3EC9D6-46C6-42B0-B1B4-1E64398FC5B6},Autobahn,2597141.277088192757219,1224937.262499999953434,2597718.627357382327318,1224437.262499999953434,"511","114179"
"2122",-1,Vignette,"4",With median,Paved,{4A3EC9D6-46C6-42B0-B1B4-1E64398FC5B6},Autobahn,2597574.289790085051209,1225187.262499999953434,2598151.640059274621308,1224687.262499999953434,"248","114620"
"2123",1,Vignette,"4",With median,Paved,{8B3CB676-23F8-413E-8BAC-02997794994F},Autobahn,2597574.289790085051209,1225187.262499999953434,2598151.640059274621308,1224687.262499999953434,"57","114620"
"2124",1,Vignette,"4",With median,Paved,{EAAFA6A8-7966-4FD1-8B19-7B3BA2317BF7},Autobahn,2597574.289790085051209,1225187.262499999953434,2598151.640059274621308,1224687.262499999953434,"127","114620"
"2124",1,Vignette,"4",With median,Paved,{EAAFA6A8-7966-4FD1-8B19-7B3BA2317BF7},Autobahn,2598007.302491976879537,1225437.262499999953434,2598584.652761166449636,1224937.262499999953434,"2","115062"
"2124",1,Vignette,"4",With median,Paved,{EAAFA6A8-7966-4FD1-8B19-7B3BA2317BF7},Autobahn,2598007.302491976879537,1224937.262499999953434,2598584.652761166449636,1224437.262499999953434,"250","115063"
"2125",1,Vignette,"4",With median,Paved,{8FE14B12-613E-4541-9C3A-B99CC80A37C6},Autobahn,2609265.632741174660623,1213937.262499999953434,2609842.983010364230722,1213437.262499999953434,"150","126577"
"2125",1,Vignette,"4",With median,Paved,{8FE14B12-613E-4541-9C3A-B99CC80A37C6},Autobahn,2609698.645443066954613,1214187.262499999953434,2610275.995712256524712,1213687.262499999953434,"431","127018"
"2126",1,Vignette,"4",With median,Paved,{337B1D3D-6C87-496C-8F75-5E9F9D7D97BA},Autobahn,2609265.632741174660623,1213937.262499999953434,2609842.983010364230722,1213437.262499999953434,"161","126577"
"2126",1,Vignette,"4",With median,Paved,{337B1D3D-6C87-496C-8F75-5E9F9D7D97BA},Autobahn,2609265.632741174660623,1213437.262499999953434,2609842.983010364230722,1212937.262499999953434,"54","126578"
"2133",1,Keine Gebühr,"4",With median,Paved,{D9E85F65-FB2F-43C6-91E9-A67963677358},Autobahn,2589347.048454133328050,1212437.262499999953434,2589924.398723322432488,1211937.262499999953434,"15","106248"
"2133",1,Keine Gebühr,"4",With median,Paved,{D9E85F65-FB2F-43C6-91E9-A67963677358},Autobahn,2589780.061156024690717,1212187.262499999953434,2590357.411425214260817,1211687.262499999953434,"515","106690"
"2133",1,Keine Gebühr,"4",With median,Paved,{D9E85F65-FB2F-43C6-91E9-A67963677358},Autobahn,2590213.073857916984707,1212437.262499999953434,2590790.424127106554806,1211937.262499999953434,"458","107132"
"2133",1,Keine Gebühr,"4",With median,Paved,{D9E85F65-FB2F-43C6-91E9-A67963677358},Autobahn,2590646.086559809278697,1212187.262499999953434,2591223.436828998848796,1211687.262499999953434,"402","107574"
"2133",1,Keine Gebühr,"4",With median,Paved,{D9E85F65-FB2F-43C6-91E9-A67963677358},Autobahn,2591079.099261701107025,1212437.262499999953434,2591656.449530891142786,1211937.262499999953434,"270","108016"
"2134",1,Keine Gebühr,"4",With median,Paved,{134B259E-DDCD-4274-ABC8-5D5D2F710B99},Autobahn,2588914.035752240568399,1212187.262499999953434,2589491.386021429672837,1211687.262499999953434,"10","105806"
"2134",1,Keine Gebühr,"4",With median,Paved,{134B259E-DDCD-4274-ABC8-5D5D2F710B99},Autobahn,2589347.048454133328050,1212437.262499999953434,2589924.398723322432488,1211937.262499999953434,"400","106248"
"2135",2,Keine Gebühr,"4",With median,Paved,{115D8CA0-2113-4730-AD6F-904D437FB1D1},Autobahn,2588914.035752240568399,1212687.262499999953434,2589491.386021429672837,1212187.262499999953434,"25","105805"
"2135",2,Keine Gebühr,"4",With median,Paved,{115D8CA0-2113-4730-AD6F-904D437FB1D1},Autobahn,2588914.035752240568399,1212187.262499999953434,2589491.386021429672837,1211687.262499999953434,"58","105806"
"2136",2,Keine Gebühr,"4",With median,Paved,{35CC1BFF-6DAC-46DC-A580-B6EDCECCA102},Autobahn,2588914.035752240568399,1212187.262499999953434,2589491.386021429672837,1211687.262499999953434,"134","105806"
"2137",2,Keine Gebühr,"4",With median,Paved,{5D3C75B5-3A75-4E38-955D-BB46F8CC6CB3},Autobahn,2588481.023050348274410,1212437.262499999953434,2589058.373319537844509,1211937.262499999953434,"89","105364"
"2137",2,Keine Gebühr,"4",With median,Paved,{5D3C75B5-3A75-4E38-955D-BB46F8CC6CB3},Autobahn,2588914.035752240568399,1212687.262499999953434,2589491.386021429672837,1212187.262499999953434,"282","105805"
"2138",1,Keine Gebühr,"4",With median,Paved,{5ED9B2D1-3B6E-4AC6-A3A6-7449EC7BC589},Autobahn,2588048.010348455980420,1213687.262499999953434,2588625.360617645550519,1213187.262499999953434,"400","104919"
