river_bassin,location,quantity,p/100 m,lat,lon,city,feature,samples
aare,aare-limmatspitz,70,60.0,47.50106,8.237371,Gebenstorf,aare,1
aare,aare-port,99,253.0,47.11617,7.26955,Port,aarenidau-buren-kanal,1
aare,aare-solothurn-lido-strand,27,244.0,47.196949,7.521643,Solothurn,aare,1
aare,aare_bern_gerberm,134,363.0,46.9893631,7.4520977,Bern,aare,1
aare,aare_bern_scheurerk,4,12.0,46.9709672,7.4525857,Bern,aare,1
aare,aare_brugg_buchie,23,60.0,47.4948553,8.2365581,Brugg,aare,1
aare,aare_koniz_hoppej,12,16.0,46.9345885,7.4581703,Köniz,aare,1
aare,aare_post,20,25.0,47.116665,7.271953,Port,aarenidau-buren-kanal,1
aare,aare_suhrespitz_badert,7,35.0,47.4056692,8.066018,Aarau,aare,1
aare,augustmutzenbergstrandweg,7,77.0,46.68664,7.68976,Spiez,thunersee,1
aare,beich,14,22.0,47.048495,7.200528,Walperswil,aare,1
aare,bern-fahrstrasse,1,2.0,46.975866,7.44421,Bern,aare,1
aare,bern-tiergarten,8,16.0,46.9331574,7.4520041,Bern,aare,1
aare,bielersee_vinelz_fankhausers,898,429.5,47.0383984,7.1083114,Vinelz,bielersee,12
aare,brugg-be-buren-bsg-standort,36,102.0,47.12222,7.28141,Brügg,aarenidau-buren-kanal,1
aare,camp-des-peches,53,145.0,47.052812,7.074053,Le Landeron,bielersee,1
aare,camping-gwatt-strand,43,172.0,46.72714,7.62962,Thun,thunersee,1
aare,delta-park,69,200.0,46.720078,7.635304,Spiez,thunersee,1
aare,erlach-camping-strand,101,183.0,47.047159,7.097854,Erlach,bielersee,1
aare,evole-plage,1974,267.5,46.989477,6.92392,Neuchâtel,neuenburgersee,12
aare,gals-reserve,48,128.0,47.0462719,7.0850075,Gals,bielersee,2
aare,gummligrabbe,13,107.0,46.98929,7.25073,Kallnach,aare,1
aare,hafeli,277,317.5,46.6902834,7.8985922,Bönigen,brienzersee,2
aare,hauterive-petite-plage,126,296.0,47.010797,6.980304,Hauterive (NE),neuenburgersee,1
aare,impromptu_cudrefin,27,223.0,46.964496,7.027936,Cudrefin,neuenburgersee,1
aare,la-petite-plage,1211,91.0,46.785054,6.656877,Yverdon-les-Bains,neuenburgersee,12
aare,la-thiele_le-mujon_confluence,9,46.0,46.77534,6.6309,Yverdon-les-Bains,la-thiele,1
aare,ligerz-strand,143,910.0,47.083979,7.135894,Ligerz,bielersee,2
