city,river_bassin,quantity,p/100 m,lat,lon,samples
Aarau,aare,7,35.0,47.4056692,8.066018,1
Allaman,rhone,631,716.0,46.4639187,6.3857321,3
Ascona,ticino,433,172.0,46.153882,8.76848,5
Beatenberg,aare,104,242.5,46.684386,7.794768,2
Bellinzona,ticino,187,121.0,46.2006245,9.015853,4
Bern,aare,147,14.0,46.9893631,7.4520977,4
Biel/Bienne,aare,3067,494.0,47.133339,7.227907,16
Boudry,aare,32,33.0,46.94619,6.87097,1
Bourg-en-Lavaux,rhone,121,501.5,46.4888866,6.7413961,2
Brienz (BE),aare,697,504.0,46.74445107,8.0499211,3
Brissago,ticino,203,362.0,46.13276,8.73503,1
Brugg,aare,23,60.0,47.4948553,8.2365581,1
Brügg,aare,36,102.0,47.12222,7.28141,1
Burgdorf,aare,41,87.0,47.057666,7.634001,1
Bönigen,aare,277,317.5,46.6902834,7.8985922,2
Cheyres-Châbles,aare,903,60.0,46.818689,6.782256,13
Cudrefin,aare,27,223.0,46.964496,7.027936,1
Dietikon,linth,18,36.0,47.4079891,8.4095398,1
Erlach,aare,101,183.0,47.047159,7.097854,1
Estavayer,aare,28,45.0,46.8566464,6.848428,1
Freienbach,linth,104,123.0,47.206766,8.774182,1
Gals,aare,48,128.0,47.0462719,7.0850075,2
Gambarogno,ticino,711,85.0,46.123366,8.785786,10
Gebenstorf,aare,70,60.0,47.50106,8.237371,1
Genève,rhone,4380,189.0,46.208558,6.162923,17
Gland,rhone,134,143.0,46.4028106,6.2819586,2
Glarus Nord,linth,84,78.5,47.13137,9.094768,4
Grandson,aare,104,141.0,46.80359,6.63665,1
Hauterive (NE),aare,126,296.0,47.010797,6.980304,1
Hünenberg,linth,2,12.0,47.2329755,8.4010121,1
Kallnach,aare,82,131.5,46.98929,7.25073,2
Köniz,aare,12,16.0,46.9345885,7.4581703,1
Küsnacht (ZH),linth,1129,242.0,47.31777,8.588258,13
La Tour-de-Peilz,rhone,2941,234.0,46.447216,6.859612,15
Lausanne,rhone,1000,1158.0,46.516221,6.596279,7
Lavey-Morcles,rhone,594,417.0,46.200804,7.021866,3
Le Landeron,aare,53,145.0,47.052812,7.074053,1
Leuk,rhone,15,30.0,46.3147545,7.6225205,1
Ligerz,aare,143,910.0,47.083979,7.135894,2
Locarno,ticino,55,91.0,46.162521,8.7825791,1
Lugano,ticino,979,1002.0,45.9879627,8.9862407,5
Luterbach,aare,39,36.5,47.223749,7.576711,2
Lüscherz,aare,202,64.0,47.0479551,7.151242,5
Merenschwand,linth,1,5.0,47.2783545,8.3942242,1
Minusio,ticino,463,374.0,46.172079,8.813255,2
Montreux,rhone,739,326.0,46.430834,6.908778,7
Neuchâtel,aare,2168,257.0,46.989477,6.92392,13
Nidau,aare,63,252.0,47.127196,7.232613,1
Port,aare,119,139.0,47.11617,7.26955,2
Préverenges,rhone,3744,346.0,46.51269,6.527657,13
Quarten,linth,113,84.0,47.1143432,9.2881737,3
Rapperswil-Jona,linth,716,176.0,47.2161,8.84443,16
Richterswil,linth,738,140.0,47.2176458,8.6987133,13
Riddes,rhone,3,9.0,46.176736,7.228925,1
Rubigen,aare,57,320.0,46.896025,7.532114,1
Saint-Gingolph,rhone,7565,1771.0,46.387746,6.843686,11
Saint-Sulpice (VD),rhone,2507,1064.0,46.515215,6.575531,5
Salgesch,rhone,51,102.0,46.304399,7.580262,1
Schmerikon,linth,90,165.0,47.220989,8.940365,2
Sion,rhone,9,18.0,46.2220487,7.361664,1
Solothurn,aare,27,244.0,47.196949,7.521643,1
Spiez,aare,531,71.0,46.68664,7.68976,14
Stäfa,linth,67,608.0,47.2346431,8.7698814,1
Thun,aare,276,139.0,46.72714,7.62962,3
Tolochenaz,rhone,274,355.5,46.4910297,6.4801618,2
Unterengstringen,linth,33,165.0,47.4094003,8.4469334,1
Unterseen,aare,1879,180.0,46.676583,7.817528,12
Versoix,rhone,583,291.0,46.289194,6.1705693,3
Vevey,rhone,3163,590.0,46.460156,6.836718,12
Vinelz,aare,898,429.5,47.0383984,7.1083114,12
Walenstadt,linth,2600,302.0,47.12864,9.2951,15
Walperswil,aare,14,22.0,47.048495,7.200528,1
Weesen,linth,1033,85.5,47.133742,9.105461,14
Weggis,linth,58,85.0,47.0445321,8.4185689,3
Yverdon-les-Bains,aare,1446,91.0,46.785054,6.656877,14
Zug,linth,62,45.0,47.1782157,8.4800128,3
Zürich,linth,2564,122.0,47.3945393,8.5134435,20
