city,river_bassin,quantity,p/100 m,lat,lon,samples
Aarau,aare,7,35.0,47.4056692,8.066018,1
Bellinzona,ticino,187,121.0,46.2006245,9.015853,4
Bern,aare,147,14.0,46.9893631,7.4520977,4
Biel/Bienne,aare,98,103.5,47.133339,7.227907,2
Brugg,aare,23,60.0,47.4948553,8.2365581,1
Brügg,aare,36,102.0,47.12222,7.28141,1
Burgdorf,aare,41,87.0,47.057666,7.634001,1
Dietikon,linth,18,36.0,47.4079891,8.4095398,1
Gebenstorf,aare,70,60.0,47.50106,8.237371,1
Genève,rhone,320,1600.0,46.208558,6.162923,1
Glarus Nord,linth,17,80.0,47.13137,9.094768,2
Hünenberg,linth,2,12.0,47.2329755,8.4010121,1
Kallnach,aare,82,131.5,46.98929,7.25073,2
Köniz,aare,12,16.0,46.9345885,7.4581703,1
Küsnacht (ZH),linth,12,11.0,47.31777,8.588258,1
Lavey-Morcles,rhone,594,417.0,46.200804,7.021866,3
Leuk,rhone,15,30.0,46.3147545,7.6225205,1
Locarno,ticino,55,91.0,46.162521,8.7825791,1
Lugano,ticino,54,75.0,45.9879627,8.9862407,1
Luterbach,aare,39,36.5,47.223749,7.576711,2
Merenschwand,linth,1,5.0,47.2783545,8.3942242,1
Port,aare,119,139.0,47.11617,7.26955,2
Rapperswil-Jona,linth,21,18.0,47.2161,8.84443,3
Riddes,rhone,3,9.0,46.176736,7.228925,1
Rubigen,aare,57,320.0,46.896025,7.532114,1
Salgesch,rhone,51,102.0,46.304399,7.580262,1
Sion,rhone,9,18.0,46.2220487,7.361664,1
Solothurn,aare,27,244.0,47.196949,7.521643,1
Unterengstringen,linth,33,165.0,47.4094003,8.4469334,1
Walenstadt,linth,42,60.5,47.12864,9.2951,2
Walperswil,aare,14,22.0,47.048495,7.200528,1
Weesen,linth,77,78.0,47.133742,9.105461,1
Yverdon-les-Bains,aare,9,46.0,46.785054,6.656877,1
Zürich,linth,183,66.5,47.3945393,8.5134435,6
