location,project,water_name_slug,river_bassin,pcs_m,quantity,lat,lon
aabach,IQAASL,zurichsee,linth,1.22,38,47.220989,8.940365
aare-limmatspitz,IQAASL,aare,aare,0.6,70,47.50106,8.237371
aare-solothurn-lido-strand,IQAASL,aare,aare,2.44,27,47.196949,7.521643
aare_bern_gerberm,Both,aare,aare,1.3050000000000002,1457,46.9893631,7.4520977
aare_bern_scheurerk,Both,aare,aare,0.26,195,46.9709672,7.4525857
aare_brugg_buchie,Both,aare,aare,0.975,318,47.4948553,8.2365581
aare_koniz_hoppej,Both,aare,aare,1.7349999999999999,757,46.9345885,7.4581703
aare_post,IQAASL,aarenidau-buren-kanal,aare,0.25,20,47.116665,7.271953
aare_suhrespitz_badert,Both,aare,aare,1.1900000000000002,989,47.4056692,8.066018
anarchy-beach,IQAASL,lac-leman,rhone,5.98,165,46.447216,6.859612
ascona-traghetto-spiaggia,IQAASL,lago-maggiore,ticino,9.41,255,46.153882,8.76848
augustmutzenbergstrandweg,IQAASL,thunersee,aare,0.77,7,46.68664,7.68976
baby-plage-geneva,IQAASL,lac-leman,rhone,2.015,3217,46.208558,6.162923
baby-plage-ii-geneve,IQAASL,lac-leman,rhone,0.755,88,46.20894,6.16433
bain-des-dames,Both,lac-leman,rhone,13.614999999999998,808,46.4505068,6.8580918
baye-de-montreux-g,IQAASL,lac-leman,rhone,3.74,589,46.430834,6.908778
beich,IQAASL,aare,aare,0.22,14,47.048495,7.200528
bern-fahrstrasse,IQAASL,aare,aare,0.02,1,46.975866,7.44421
bern-tiergarten,IQAASL,aare,aare,0.16,8,46.9331574,7.4520041
bielersee_vinelz_fankhausers,Both,bielersee,aare,3.38,2036,47.0383984,7.1083114
boiron,IQAASL,lac-leman,rhone,1.76,88,46.4910297,6.4801618
brugg-be-buren-bsg-standort,IQAASL,aarenidau-buren-kanal,aare,1.02,36,47.12222,7.28141
camp-des-peches,IQAASL,bielersee,aare,1.45,53,47.052812,7.074053
camping-gwatt-strand,IQAASL,thunersee,aare,1.72,43,46.72714,7.62962
canale-saleggi,IQAASL,ticino,ticino,1.49,66,46.2006245,9.015853
cully-plage,IQAASL,lac-leman,rhone,5.015,121,46.4888866,6.7413961
delta-park,IQAASL,thunersee,aare,2.0,69,46.720078,7.635304
erlach-camping-strand,IQAASL,bielersee,aare,1.83,101,47.047159,7.097854
