water_feature,quantity,p/100 m,lat,lon,samples
aare,478,49.0,47.50106,8.237371,15
aarenidau-buren-kanal,155,102.0,47.11617,7.26955,3
bielersee,4477,340.0,47.0383984,7.1083114,38
brienzersee,974,334.0,46.6902834,7.8985922,5
cassarate,54,75.0,46.002411,8.961477,1
dorfbach,12,11.0,47.31777,8.588258,1
emme,41,87.0,47.057666,7.634001,1
escherkanal,10,90.0,47.12573,9.11734,1
jona,21,18.0,47.2161,8.84443,3
la-thiele,9,46.0,46.77534,6.6309,1
lac-leman,27462,450.5,46.447216,6.859612,98
lago-di-lugano,925,1039.5,45.9879627,8.9862407,4
lago-maggiore,1810,174.0,46.153882,8.76848,18
limmat,219,94.5,47.4079891,8.4095398,6
linthkanal,84,74.0,47.13137,9.094768,2
maggia,55,91.0,46.162521,8.7825791,1
neuenburgersee,4825,136.0,46.989477,6.92392,44
reuss,3,8.5,47.2329755,8.4010121,2
rhone,992,109.0,46.200804,7.021866,8
schuss,98,103.5,47.1465,7.26862,2
seez,42,60.5,47.11983,9.300251,2
sihl,15,27.0,47.3818981,8.5383279,2
thunersee,2790,104.0,46.68664,7.68976,31
ticino,187,121.0,46.2006245,9.015853,4
vierwaldstattersee,58,85.0,47.0445321,8.4185689,3
walensee,3694,115.0,47.133742,9.105461,31
zugersee,62,45.0,47.1782157,8.4800128,3
zurichsee,5192,211.0,47.220989,8.940365,56
